Q1;Q2;Q3;Q4;Q5
No;Sí;No;No;No
No;Sí;No;Si;No
Si;Sí;No;No;No
No;Sí;Si;Si;Si
No;Sí;Si;Si;No
Si;Sí;Si;Si;Si
No;Sí;No;No;No
No;No;No;No;No
No;Sí;Si;No;Si
Si;No;Si;No;No
No;No;Si;No;No
Si;No;No;No;No
No;No;No;No;No
Si;No;No;No;No
Si;Sí;Si;No;No
No;Sí;Si;Si;Si
No;Sí;Si;Si;Si
No;Sí;Si;No;No
No;No;Si;No;No
No;No;No;No;No
No;Sí;Si;No;No
Si;Sí;Si;Si;Si
Si;Sí;No;Si;Si
No;Sí;Si;No;No
No;Sí;Si;No;No
No;Sí;Si;No;No
No;Sí;No;No;No
Si;No;No;No;No
No;No;No;No;No
Si;No;Si;No;Si
No;No;No;No;No
No;No;No;No;No
Si;Sí;No;No;No
Si;No;No;No;No
No;No;Si;No;Si
No;No;Si;Si;Si
No;No;No;No;Si
No;No;No;No;No
Si;No;No;No;No
Si;Sí;Si;Si;Si
Si;No;No;No;No
No;Sí;Si;Si;Si
Si;No;No;No;No
Si;No;No;No;No
Si;Sí;Si;No;No
No;Sí;Si;Si;Si
No;Sí;Si;Si;Si
No;No;Si;No;Si
No;Sí;Si;Si;No
No;No;No;No;No
No;Sí;Si;Si;Si
Si;No;No;No;No
No;No;No;No;No
Si;Sí;Si;Si;Si
No;Sí;No;No;Si
Si;Sí;No;No;Si
No;Sí;Si;Si;Si
No;Sí;No;No;No
No;Sí;No;No;Si
No;No;No;No;No
No;No;No;No;No
No;No;No;Si;No
No;No;Si;No;No
Si;Sí;Si;No;Si
Si;No;No;No;Si
No;Sí;Si;Si;Si
Si;Sí;Si;Si;No
Si;No;No;No;Si
No;No;No;No;No
Si;Sí;No;No;No
Si;No;No;Si;No
No;Sí;Si;No;No
Si;No;Si;Si;No
Si;No;Si;No;No
Si;No;No;No;No
Si;Sí;Si;Si;No
No;Sí;No;Si;Si
No;No;No;No;No
Si;No;No;No;Si
No;Sí;No;No;No
No;No;Si;No;No
Si;Sí;Si;Si;No
Si;No;No;No;No
No;Sí;Si;No;No
No;No;No;No;Si
No;Sí;Si;Si;No
No;Sí;No;No;No
No;No;No;No;No
No;No;Si;No;No
No;No;No;No;No
No;No;Si;No;No
No;Sí;No;No;Si
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;No;No;No;No
No;No;Si;No;No
No;Sí;No;Si;No
No;Sí;Si;No;Si
Si;Sí;No;Si;No
Si;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
Si;Sí;No;No;Si
No;Sí;No;No;No
Si;Sí;No;Si;No
Si;Sí;No;Si;No
No;No;Si;No;No
No;No;No;No;No
No;No;No;No;No
No;No;No;No;No
Si;Sí;No;Si;No
No;Sí;No;Si;Si
Si;Sí;No;Si;No
No;Sí;Si;Si;No
No;No;No;No;No
No;Sí;No;No;No
No;No;No;No;No
Si;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;No;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
Si;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;No;No;No;No
No;Sí;No;Si;No
No;No;No;No;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;No;Si;No;No
No;No;No;No;No
No;Sí;Si;No;No
Si;Sí;No;Si;Si
No;Sí;No;Si;Si
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
Si;Sí;No;Si;No
No;Sí;No;Si;No
Si;Sí;No;Si;No
No;Sí;No;Si;No
Si;Sí;No;Si;Si
No;Sí;No;No;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;Si
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
Si;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;Si;No;No
No;Sí;Si;No;No
No;No;Si;Si;Si
No;No;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;No;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;No;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;No;Si;No
Si;Sí;No;No;No
Si;Sí;No;Si;Si
No;Sí;Si;Si;No
No;No;Si;Si;No
No;Sí;Si;Si;No
No;Sí;No;No;No
No;Sí;No;Si;No
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;Sí;Si;Si;No
No;Sí;No;Si;Si
No;Sí;No;Si;No
No;Sí;Si;Si;No
No;No;No;No;No
No;Sí;Si;Si;No
No;Sí;No;Si;No
